Burrito,Date,Chips,Cost,Hunger,Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Rec,Unreliable,NonSD,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa.1,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini,Great
California,4/24/2016,0,9.0,2.0,19.0,21.5,0.7,2.0,3.5,3.0,1.5,1.0,1.0,2.5,1.5,3.5,1.5,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Other,4/24/2016,0,9.0,2.0,18.5,23.0,0.78,2.5,2.5,1.5,2.5,1.0,2.0,2.5,2.0,5.0,1.8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
California,4/25/2026,0,8.0,4.0,21.59,,,4.5,5.0,5.0,5.0,4.5,5.0,3.0,5.0,5.0,4.9,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
California,4/27/2016,1,6.89,3.0,25.0,22.0,0.96,3.0,2.5,3.0,2.5,2.5,2.0,3.5,3.0,4.0,3.0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Other,4/27/2016,0,6.39,3.0,23.0,22.5,0.93,4.0,3.0,2.5,3.5,3.0,3.0,3.5,4.0,3.5,3.5,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
California,5/4/2016,1,6.75,3.0,22.5,23.0,0.95,4.5,4.0,3.0,4.0,1.0,3.0,4.5,3.5,4.5,3.5,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Other,5/4/2016,0,5.99,2.0,21.0,22.0,0.81,4.0,2.0,2.5,4.0,4.0,3.0,3.5,4.0,5.0,3.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
California,5/6/2016,0,7.49,3.5,19.0,22.0,0.73,3.5,4.0,4.0,4.0,3.5,3.0,4.0,4.5,3.0,4.2,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
California,5/6/2016,0,7.49,4.0,16.5,25.0,0.82,4.0,3.5,4.0,4.0,4.5,5.0,4.5,5.0,4.5,4.5,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
California,5/6/2016,0,7.49,4.0,17.0,25.5,0.88,3.0,3.0,4.0,3.5,3.5,4.0,3.5,4.0,2.5,3.7,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
California,5/6/2016,0,7.49,3.0,17.7,21.5,0.65,4.0,2.0,5.0,5.0,1.0,3.0,5.0,4.0,3.0,4.0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
